,image_id,melanoma,asymmetry,border_irregularity,color_irregularity,differential_structure
0,ISIC_0000000,0,0.008072149135942008,1.4636958227204506,39.36933958901923,2.740056335558259e-06
1,ISIC_0000001,0,0.0010336458419335781,1.7163838173324533,25.94767862661568,1.8715376553376255e-05
2,ISIC_0000002,1,0.0030907657252050302,1.9733284246180975,27.861042455234568,4.212264429111802e-06
3,ISIC_0000003,0,0.003943106642074701,1.4659880401478191,33.61222837411884,3.8356500659731816e-06
4,ISIC_0000004,1,0.0029600700811129865,1.2021643841109293,34.173329189894865,3.7107954461118286e-06
5,ISIC_0000006,0,0.003698341028604779,1.8667924772483615,25.160813609918353,1.4397811532647038e-05
6,ISIC_0000007,0,0.00180281043735403,1.4383080389475726,25.781186819456384,1.4801219620496728e-05
7,ISIC_0000008,0,0.001256934980883695,1.6453034163363,33.419945547562456,3.823580017970826e-06
8,ISIC_0000009,0,0.001734965949654027,1.7501553972980726,25.10986615035519,5.6100981767180925e-06
9,ISIC_0000010,0,0.0022603441294644366,1.5450038757141642,27.529318878348633,1.6106431298017298e-05
10,ISIC_0000011,0,0.0016112459226396147,1.636915133668419,24.461574153478626,7.191761118462689e-06
11,ISIC_0000012,0,0.002474513033986492,1.46415905492131,21.72469231919158,2.6196526340607235e-05
12,ISIC_0000013,1,0.0021741978705656917,1.5267316429334843,39.44208087617543,5.189117383024322e-06
13,ISIC_0000014,0,0.0005873239766443772,1.8506899559768106,18.375285399856164,4.620089999353187e-06
14,ISIC_0000015,0,0.0034240437886040864,2.0424358788695893,34.32991927305644,5.4096746621658175e-06
15,ISIC_0000016,0,0.0026139598352231674,1.3674409443725204,34.91630617446668,6.202050397861533e-06
16,ISIC_0000017,0,0.0036054244399953694,1.8182519925218261,28.92514668138766,3.8855624157318655e-06
17,ISIC_0000018,0,0.0018534958313477234,2.0968585701396387,22.162375811952785,2.5373562270527847e-06
18,ISIC_0000019,0,0.0023370794062685385,1.385375465552141,36.03666354625258,1.836378661279956e-06
19,ISIC_0000020,0,0.001025568272635058,2.218157751100048,33.98451318589799,2.506755706629366e-06
20,ISIC_0000021,0,0.017739666202894522,2.856361760784138,18.33203245912014,2.3602384784958674e-06
21,ISIC_0000022,1,0.0037957247500267077,1.298683581381497,32.3671151169295,1.3120690673157034e-06
